pos_dic,Up,Down,total,Polarity Score,Polarity
피봇/NNG,74,23,97,2.097836213294143,Hawkish
지법/NNG,12,5,17,1.5648724185653602,Hawkish
징수/NNG,38,14,52,1.7697961876632051,Hawkish
운송/NNG,399,120,519,2.1680003298874264,Hawkish
납품/NNG,176,71,247,1.6163001506308885,Hawkish
단순평균/NNG,68,22,90,2.0153659936069035,Hawkish
소폭/MAG;완화/NNG,15,7,22,1.3972075165762146,Hawkish
잔존가치/NNG,34,1,35,22.16902592967594,Hawkish
전기요금/NNG,105,42,147,1.6300754360055838,Hawkish
내세운/VV,70,26,96,1.7554658541598596,Hawkish
제조업체/NNG,116,38,154,1.9904079008068185,Hawkish
사무실/NNG,133,58,191,1.4951726413016733,Hawkish
엑시트/NNG,57,16,73,2.322857496307957,Hawkish
베팅/NNG,851,272,1123,2.0399914647658117,Hawkish
이중과세/NNG,14,7,21,1.3040603488044669,Hawkish
실적치/NNG,27,13,40,1.3542165160661772,Hawkish
완화/NNG;선호/NNG,17,6,23,1.847418827472995,Hawkish
경상/NNG;수지/NNG;개선/NNG,14,5,19,1.8256844883262535,Hawkish
비서/NNG,22,10,32,1.4344663836849136,Hawkish
매출원가율/NNG,22,5,27,2.8689327673698277,Hawkish
금리/NNG;인하/NNG;기대/NNG;위축/NNG,29,9,38,2.100986117518308,Hawkish
일원/NNG,173,58,231,1.9448486236480411,Hawkish
최우선변제/NNG,30,1,31,19.560905232067004,Hawkish
유지관리/NNG,12,6,18,1.3040603488044669,Hawkish
검색/NNG,361,173,534,1.3605947569896315,Hawkish
위험자산/NNG;선호/NNG;회복/NNG,15,5,20,1.9560905232067003,Hawkish
부채/NNG;급증/NNG,17,5,22,2.216902592967594,Hawkish
꾀하/VV,63,26,89,1.5799192687438737,Hawkish
소비/NNG;심리/NNG;위축/NNG,111,21,132,3.446445207554663,Hawkish
관계없이/MAG,64,25,89,1.6691972464697178,Hawkish
방어력/NNG,14,7,21,1.3040603488044669,Hawkish
추세선/NNG,13,5,18,1.6952784534458072,Hawkish
공급면적/NNG,18,5,23,2.3473086278480406,Hawkish
우드/NNG,43,16,59,1.7523310937060026,Hawkish
진균/NNG,113,9,122,8.18660107860582,Hawkish
자릿수/NNG,251,120,371,1.363829781458005,Hawkish
지수/NNG;상승/NNG,241,114,355,1.378414666938055,Hawkish
다각도/NNG,47,17,64,1.802671658641469,Hawkish
출발점/NNG,14,3,17,3.042807480543756,Hawkish
깜짝/MAG;성장/NNG,135,19,154,4.6328459760158704,Hawkish
야후/NNG,65,19,84,2.230629544007641,Hawkish
국정/NNG,78,22,100,2.3117433456079186,Hawkish
유휴/NNG,23,9,32,1.6662993345834856,Hawkish
공매/NNG,580,140,720,2.701267865380682,Hawkish
순우/NNG,72,4,76,11.736543139240204,Hawkish
회화/NNG,18,1,19,11.736543139240204,Hawkish
물가/NNG;잡/VV,93,25,118,2.4255522487763086,Hawkish
발족/NNG,36,12,48,1.9560905232067003,Hawkish
이뤄질지/VV,19,5,24,2.4777146627284874,Hawkish
생활안정/NNG,117,31,148,2.460888077582623,Hawkish
전망/NNG;양호/NNG,18,5,23,2.3473086278480406,Hawkish
뉴노멀/NNG,29,8,37,2.363609382208097,Hawkish
투자/NNG;줄/VV,16,8,24,1.304060348804467,Hawkish
